Names,Massey
Adair County,1.55084051937444
Allen Central,-10.8604758281022
Allen County-Scottsville,4.26380355095177
Anderson County,2.65719477662249
Apollo,3.46660834612646
Ashland Blazer,17.9253679029797
Atherton,-7.22889247949291
Augusta,-5.19092345240072
Ballard,34.2391366870438
Ballard Memorial,2.91493967645099
Barbourville,3.22811010259195
Bardstown,14.420258849857
Barren County,-2.47602107118176
Bath County,-0.716401748333276
Beechwood,-1.71301118030412
Belfry,-2.05059650615933
Bell County,10.7465253974371
Bellevue,-26.0139657252643
Berea,0.582878433000385
Beth Haven,-6.22678822271517
Bethlehem,-0.357267368317244
Betsy Layne,7.69930622474725
Bishop Brossart,8.52783196541056
Boone County,16.2521635507915
Bourbon County,-7.15528901332816
Bowling Green,23.6432213783381
Boyd County,-5.63924250447007
Boyle County,4.87586563322065
Bracken County,0.94541924836309
Breathitt County,-5.1398513474787
Breckinridge County,5.99423642954492
Brown,-40.0273877906489
Bryan Station,16.4487793119046
Buckhorn,5.27016872090318
Bullitt Central,2.64545085688776
Bullitt East,24.0151754765667
Burgin,-17.1524000832068
Butler,16.8906176527666
Butler County,-10.8398781308786
Caldwell County,-19.0110923739846
Calloway County,0.545520036911525
Calvary Christian,-15.5215672426885
Campbell County,10.1083434246422
Campbellsville,6.90486194417039
Carlisle County,-1.96949857242239
Carroll County,-13.3088507475618
Casey County,-1.60001894993087
Caverna,-4.1028708947474
Central,17.9530273856409
Central Hardin,7.5024794770193
Christian Academy-Louisville,11.9192401251599
Christian County,26.8910128132019
Clay County,10.6692258456568
Clinton County,7.28043155321875
Collins,7.46528121752956
Community Christian (Paducah),-15.4585553762596
Conner,8.56102736740466
Cooper,5.80107321074599
Corbin,8.38603730916173
Cordia,-18.6402225480323
Covington Catholic,16.4012943990951
Crittenden County,-14.3643009511045
Cumberland County,-15.341277702288
Danville,9.83227163468908
Daviess County,17.6442804635297
Dawson Springs,-19.8201673548793
Dayton,-27.3712240706738
DeSales,13.7925966394437
Deming,4.79843929703184
Dixie Heights,20.4172897152121
Doss,6.50752952706414
DuPont Manual,13.9972393191406
East Carter,-4.73647081295576
East Jessamine,12.268517829492
East Ridge,0.890856754955503
Eastern,38.1729344331079
Edmonson County,-0.927052620777868
Elizabethtown,12.6668513812262
Elliott County,9.42777270480354
Eminence,-17.6944090945574
Estill County,-3.09208525472689
Evangel Christian,-19.0634243439925
Fairdale,8.20250810640672
Fairview,-3.00587024351556
Fern Creek,20.6454916020262
Fleming County,0.589148931128183
Fort Campbell,-24.1140242061006
Fort Knox,-9.43118590933615
Frankfort,10.63537672456
Franklin County,13.3530367347793
Franklin-Simpson,11.8456474145879
Fulton City,-7.19171506477533
Fulton County,4.84850770849049
Gallatin County,6.89933544676372
Garrard County,-8.82801594635364
George Rogers Clark,30.3245270778928
Glasgow,20.0018446056624
Grant County,-1.38608111511587
Graves County,14.8831639363168
Grayson County,4.4649798731759
Green County,-9.84176965872072
Greenup County,0.250461476728264
Greenwood,1.96747918889851
Hancock County,-10.3166545184358
Harlan,-5.28918411514834
Harlan County,3.02245324885258
Harrison County,3.03529853583562
Hart County,-16.0568106132258
Hazard,3.64806078339673
Heath,3.20352875451693
Henderson County,16.3523915370906
Henry Clay,22.3098358559474
Henry County,4.1152816535939
Heritage Academy,-46.1434833227683
Hickman County,-13.3264370133405
Highlands,6.22992518049236
Holmes,16.9322213726722
Holy Cross (Covington),8.51513544028029
Holy Cross (Louisville),0.897142029487919
Hopkins County Central,-10.4806542023717
Hopkinsville,9.3048489917895
Iroquois,17.9092069874775
Jackson City,-29.1199645951498
Jackson County,-8.48378336349212
Jeffersontown,28.6854659907115
Jenkins,-28.1150459079196
John Hardin,17.3370506913558
Johnson Central,5.37070768543633
Kentucky Country Day,0.0193212524718311
Kentucky School f/t Deaf,-46.7015375376975
Knott County Central,5.6565233364195
Knox Central,7.07157297237296
LaRue County,1.22556308286629
Lafayette,13.8151852030702
Lawrence County,-34.5037245608655
Lee County,-7.04430032949462
Leslie County,-4.32518950225529
Letcher County Central,0.89406216011368
Lewis County,1.56565578872211
Lexington Catholic,30.5775300333178
Lexington Christian,15.0513351631598
Lincoln County,12.1894761834751
Livingston Central,-3.13488026799414
Lloyd Memorial,-1.7772739350639
Logan County,2.3542724343404
Lone Oak,-7.31246751894368
Louisville Collegiate,-2.29997032479837
Ludlow,-20.0341521957199
Lynn Camp,-17.3362284288476
Lyon County,-0.666984971762575
Madison Central,19.8310370733302
Madison Southern,6.35692930488502
Madisonville-North Hopkins,8.25756197211231
Magoffin County,-14.7301792620515
Male,16.4321615366197
Marion County,1.52621036278435
Marshall County,18.9922854594323
Mason County,17.8374773432508
Mayfield,-3.0436147992495
McCreary Central,5.58399479395128
McLean County,-8.78819893987653
Meade County,0.105431434541403
Menifee County,-9.516656602527
Mercer County,14.8495518416497
Metcalfe County,5.35922224178488
Middlesboro,-17.8025484831972
Model,-5.02009772052444
Monroe County,5.69521885198821
Montgomery County,11.3266682970025
Monticello,-16.4227742173589
Moore,25.4142910814782
Morgan County,-20.1208326621374
Muhlenberg County,18.7983578645606
Murray,-7.45643036302888
Nelson County,-1.19658391498138
Newport,-9.3074633771315
Newport Central Catholic,19.723986200876
Nicholas County,-29.5884094330079
North Bullitt,-3.26453789960668
North Hardin,12.6737979772779
North Laurel,2.465405852489
North Oldham,10.238221129162
Ohio County,6.70047659637654
Oldham County,13.0603307265985
Oneida Baptist Institute,-19.3079917801422
Owen County,5.64410483121922
Owensboro,10.0896881816373
Owensboro Catholic,3.91872409577582
Owsley County,-26.1737109736983
Paducah Tilghman,17.3217090293864
Paintsville,-3.73050769009444
Paris,-6.99471430500164
Paul Laurence Dunbar,9.28700044029651
Pendleton County,4.18596858839454
Perry County Central,15.0028299617748
Phelps,-25.3771731218224
Pike County Central,-0.856734303482795
Pikeville,3.7409051066413
Pineville,-10.4307356364615
Pleasure Ridge Park,24.2839808760268
