Names,Colley
Adair County,0.369367770555991
All Saints,0.038341452090994
Allen Central,0.765711986997004
Allen County-Scottsville,0.214725193995149
Anderson County,0.521928669970043
Apollo,0.534361963072919
Ashland Blazer,0.761379239130207
Atherton,0.31681067241998
Augusta,0.25818877588626
Ballard,1.13964324540422
Ballard Memorial,0.47957272593483
Barbourville,0.0971699092359491
Bardstown,0.476641542147225
Barren County,0.625692689542301
Bath County,0.140982615827968
Beechwood,0.493194889917486
Belfry,0.366893123480103
Bell County,0.776689630973137
Bellevue,0.194341352690951
Berea,0.513060713631089
Beth Haven,0.307306028948839
Bethlehem,0.555452828043951
Betsy Layne,0.49990995401747
Bishop Brossart,0.624376585636705
Boone County,0.594449980489413
Bourbon County,0.669797521990339
Bowling Green,0.943514246445771
Boyd County,0.502987297092
Boyle County,0.50061427219131
Bracken County,0.283310145065585
Breathitt County,0.51855176751438
Breckinridge County,0.675644508055149
Brown,0.0142010714519377
Bryan Station,0.813715506982587
Buckhorn,0.11267574334942
Bullitt Central,0.677714599568812
Bullitt East,0.438068899207171
Burgin,0.0749337042645487
Butler,0.728434861503934
Butler County,0.383168859036956
Caldwell County,0.443796899984538
Calloway County,0.494452133100604
Calvary Christian,0.229797555160928
Campbell County,0.872464803476106
Campbellsville,0.758373510377128
Carlisle County,0.78146694686313
Carroll County,0.333489675951372
Casey County,0.192196421811326
Caverna,0.437468684884186
Cawood,0.708516828509165
Central,0.689787365588561
Central Hardin,0.740352455104865
Christian Academy-Louisville,0.549300784096638
Christian County,0.546060702871167
Christian Fellowship,0.0368083576333236
Clay County,0.87962777416851
Clinton County,0.457171146549435
Conner,0.958221994081282
Corbin,0.726081945877402
Cordia,0.297987077125114
Covington Catholic,1.06671413721234
Crittenden County,0.373223188444942
Cumberland,0.207521656200028
Cumberland County,0.244923242221142
Danville,0.683240443664077
Daviess County,0.608331225515988
Dawson Springs,0.0888348123253535
Dayton,0.11034575446875
DeSales,0.818628701412753
Deming,-0.0598672834519973
Dixie Heights,0.823745139261883
Doss,0.591525943991023
DuPont Manual,0.886754412103361
East Carter,0.57083206049395
East Jessamine,0.820312517733047
Eastern,0.617046297423085
Edmonson County,0.740227056405587
Elizabethtown,0.684777050390419
Elkhorn City,-0.021502999970992
Elliott County,0.402613259338766
Eminence,0.19100997202708
Estill County,0.291172013336482
Evangel Christian,0.254918895344182
Evarts,0.404936226695079
Fairdale,0.945448879970329
Fairview,0.136163183495806
Feds Creek,-0.00795267656807334
Fern Creek,0.53519854949821
Fleming County,0.30861462102367
Fleming-Neon,0.161507912310274
Fort Campbell,0.239557262739614
Fort Knox,0.638859758204575
Frankfort,0.750622166823047
Franklin County,0.753226423348234
Franklin-Simpson,0.485141958628909
Fulton City,0.475706431944736
Fulton County,0.238320977452088
Gallatin County,0.235080130827747
Garrard County,0.741445188058941
George Rogers Clark,0.695394102595562
Glasgow,0.906235655042933
Grant County,0.659466088317262
Graves County,0.862814570517474
Grayson County,0.826117442148108
Green County,0.116415169830442
Greenup County,0.541299266025391
Greenwood,0.470620631780461
Hancock County,0.147708219461132
Harlan,0.358276112514723
Harrison County,0.499559529755442
Harrodsburg,0.701101106727725
Hart County,0.621479000334179
Hazard,0.581696157852377
Heath,0.437867378902484
Henderson County,0.955690412660025
Henry Clay,0.69232945444903
Henry County,0.0183251461793318
Heritage Academy,0.0668735157265723
Hickman County,0.216378300894539
Highlands,0.858259164920406
Holmes,0.562689481964124
Holy Cross (Covington),0.541263763737657
Holy Cross (Louisville),0.421454384004903
Hopkins County Central,0.72455554704459
Hopkinsville,0.554621781260974
Iroquois,0.766522091893361
Jackson City,0.18956874429878
Jackson County,0.611597255878019
Jeffersontown,0.455739277986986
Jenkins,0.358792119323388
Johnson Central,0.272988411132325
June Buchanan,0.595220630484274
Kentucky School f/t Deaf,-0.093486363068125
Knott County Central,0.254621656752955
Knox Central,0.461696765697306
LaRue County,0.553005954612263
Lafayette,0.957893573386977
Lawrence County,0.349763805493696
Lee County,0.202469339100096
Leslie County,0.515568620541249
Letcher,0.074225408674046
Lewis County,0.361572707766332
Lexington Catholic,0.919779618218535
Lexington Christian,0.239768236205241
Lincoln County,0.704179945512264
Livingston Central,0.0487425643544523
Lloyd Memorial,0.481378190229744
Logan County,0.461741458218649
Lone Oak,0.480689102792541
Louisville Collegiate,0.110520549084649
Ludlow,0.402006490692954
Lynn Camp,0.389613156768491
Lyon County,0.598652507071432
Madison Central,0.952049032536158
Madison Southern,0.49206474320432
Madisonville-North Hopkins,1.02712698183198
Magoffin County,0.770921280307252
Male,1.07547096064981
Marion County,0.394103654244637
Marshall County,0.838524008704582
Mason County,0.855443532288952
Mayfield,0.69757808907174
McCreary Central,0.426421176221647
McLean County,0.299191114286559
Meade County,0.340712122744175
Menifee County,-0.0267497199600067
Mercer County,0.501118000026109
Metcalfe County,0.669566349927378
Middlesboro,0.293769005217627
Millard,0.332092712202404
Millersburg Military,-0.205722920404109
Model,0.364760118110716
Monroe County,0.39684049981921
Montgomery County,0.699758952258478
Monticello,0.425032619004822
Moore,0.9446138999598
Morgan County,0.52368995509642
Muhlenberg North,0.834560713780644
Muhlenberg South,0.344686671712708
Murray,0.678913426339472
Nelson County,0.645854124916013
Newport,0.397577394539695
Newport Central Catholic,0.990082663079723
Nicholas County,0.283143579015043
North Bullitt,0.253946793485056
North Hardin,1.02144554282744
North Laurel,0.687726033281714
Ohio County,0.523845462582705
Oldham County,0.931154110424222
Oneida Baptist Institute,0.408012444110728
Owen County,0.379191364963653
Owensboro,0.911898855731618
Owensboro Catholic,0.771922283682065
Owsley County,0.685733037652773
Paducah Tilghman,0.934645170460799
Paintsville,0.585586720237136
Paris,0.495687254028382
Paul Laurence Dunbar,0.856979958812879
Pendleton County,0.298576352678573
Perry County Central,0.705802460747331
Phelps,0.220379130466581
Piarist School,-0.0759202081153961
Pike County Central,0.671671087338461
Pikeville,0.565700566802173
Pineville,0.107636853098366
Pleasure Ridge Park,0.973240805207603
Portland Christian,0.438877128021387
Powell County,0.495494597740838
Prestonsburg,0.283144139999068
Providence,0.0970191940542767
Pulaski County,0.336926118583327
Raceland,0.373738318167073
Red Bird,0.484298649868813
Reidland,0.26606873296997
Riverside Christian,-0.0505325518540969
Rockcastle County,0.62349640741549
Rose Hill Christian,0.109154814593742
Rowan County,0.77693975517241
Russell,0.756821174021964
Russell County,0.398262522989164
Russellville,0.909287329714429
Ryle,0.612055859892614
Sayre,0.250563891349843
Scott,0.938457258145244
Scott County,0.953174654136335
Seneca,0.621120528409444
Shawnee,0.458331356662167
Shelby County,0.809083372493121
Shelby Valley,0.858538981184799
Sheldon Clark,0.295855749786443
Silver Grove,0.640569780358482
Simon Kenton,0.925181488598923
Somerset,0.800027202416581
South Floyd,0.654841826904151
South Laurel,0.911650258010505
South Oldham,0.519694998910813
Southern,0.218195493082827
Southwestern,0.39562866639343
Spencer County,0.219809165773501
St. Henry,0.683295550281365
St. Mary,0.621758721214215
St. Patrick,0.297470417653586
St. Xavier,0.9078869881955
Tates Creek,0.44757723313317
Taylor County,0.44852437196391
Todd County Central,0.713596765055077
Trigg County,0.366558441409251
Trimble County,0.543417923950447
Trinity (Louisville),0.535419028129248
Trinity (Whitesville),0.478266446518523
Union County,0.486210446604502
University Heights,0.562212876450967
Valley,0.387390148478509
Villa Madonna,-0.0588279919716997
Waggener,0.562659762666253
Walden,-0.0183367662356687
Walton-Verona,0.485549936674648
Warren Central,0.86097096773822
Warren East,0.373102878351764
Washington County,0.891882744684988
Wayne County,0.745475060758149
Webster County,0.733739987453359
West Carter,0.320443486474747
West Jessamine,0.491338236468376
Western,0.39657227841904
Western Hills,0.266553022736092
Whitefield Academy,0.269086119470285
Whitesburg,0.643440351148088
Whitley County,0.324507361592485
Williamsburg,0.0591759289136551
Williamstown,0.267732511774687
Wolfe County,0.710676909869028
Woodford County,0.455247958750976
Cloverport,0.0737189057286795
St. Francis,-0.132067705507735
Kentucky Country Day,0.300461708727342
